template_path,template_x,template_y,template_w,template_h,query_path,query_x,query_y,query_w,query_h
/mnt/hdd1/users/aktgpt/datasets/template_matching/TinyTLP/Alladin/img/00001.jpg,520,401,94,279,/mnt/hdd1/users/aktgpt/datasets/template_matching/TinyTLP/Alladin/img/00101.jpg,539,405,92,253
/mnt/hdd1/users/aktgpt/datasets/template_matching/TinyTLP/Alladin/img/00011.jpg,539,402,93,275,/mnt/hdd1/users/aktgpt/datasets/template_matching/TinyTLP/Alladin/img/00111.jpg,579,400,92,255
/mnt/hdd1/users/aktgpt/datasets/template_matching/TinyTLP/Alladin/img/00021.jpg,556,402,93,272,/mnt/hdd1/users/aktgpt/datasets/template_matching/TinyTLP/Alladin/img/00121.jpg,601,401,90,250
/mnt/hdd1/users/aktgpt/datasets/template_matching/TinyTLP/Alladin/img/00031.jpg,566,402,93,269,/mnt/hdd1/users/aktgpt/datasets/template_matching/TinyTLP/Alladin/img/00131.jpg,613,405,89,245
/mnt/hdd1/users/aktgpt/datasets/template_matching/TinyTLP/Alladin/img/00041.jpg,548,407,95,263,/mnt/hdd1/users/aktgpt/datasets/template_matching/TinyTLP/Alladin/img/00141.jpg,618,411,89,241
/mnt/hdd1/users/aktgpt/datasets/template_matching/TinyTLP/Alladin/img/00051.jpg,526,413,98,257,/mnt/hdd1/users/aktgpt/datasets/template_matching/TinyTLP/Alladin/img/00151.jpg,625,416,87,237
/mnt/hdd1/users/aktgpt/datasets/template_matching/TinyTLP/Alladin/img/00061.jpg,503,418,99,251,/mnt/hdd1/users/aktgpt/datasets/template_matching/TinyTLP/Alladin/img/00161.jpg,635,418,82,233
/mnt/hdd1/users/aktgpt/datasets/template_matching/TinyTLP/Alladin/img/00071.jpg,480,422,97,245,/mnt/hdd1/users/aktgpt/datasets/template_matching/TinyTLP/Alladin/img/00171.jpg,646,421,77,228
/mnt/hdd1/users/aktgpt/datasets/template_matching/TinyTLP/Alladin/img/00081.jpg,466,427,95,239,/mnt/hdd1/users/aktgpt/datasets/template_matching/TinyTLP/Alladin/img/00181.jpg,657,430,76,214
/mnt/hdd1/users/aktgpt/datasets/template_matching/TinyTLP/Alladin/img/00091.jpg,487,412,96,253,/mnt/hdd1/users/aktgpt/datasets/template_matching/TinyTLP/Alladin/img/00191.jpg,673,450,76,205
/mnt/hdd1/users/aktgpt/datasets/template_matching/TinyTLP/Alladin/img/00101.jpg,539,405,92,253,/mnt/hdd1/users/aktgpt/datasets/template_matching/TinyTLP/Alladin/img/00201.jpg,687,450,75,206
/mnt/hdd1/users/aktgpt/datasets/template_matching/TinyTLP/Alladin/img/00111.jpg,579,400,92,255,/mnt/hdd1/users/aktgpt/datasets/template_matching/TinyTLP/Alladin/img/00211.jpg,703,464,74,211
/mnt/hdd1/users/aktgpt/datasets/template_matching/TinyTLP/Alladin/img/00121.jpg,601,401,90,250,/mnt/hdd1/users/aktgpt/datasets/template_matching/TinyTLP/Alladin/img/00221.jpg,714,478,74,216
/mnt/hdd1/users/aktgpt/datasets/template_matching/TinyTLP/Alladin/img/00131.jpg,613,405,89,245,/mnt/hdd1/users/aktgpt/datasets/template_matching/TinyTLP/Alladin/img/00231.jpg,723,469,73,235
/mnt/hdd1/users/aktgpt/datasets/template_matching/TinyTLP/Alladin/img/00141.jpg,618,411,89,241,/mnt/hdd1/users/aktgpt/datasets/template_matching/TinyTLP/Alladin/img/00241.jpg,728,474,73,237
/mnt/hdd1/users/aktgpt/datasets/template_matching/TinyTLP/Alladin/img/00151.jpg,625,416,87,237,/mnt/hdd1/users/aktgpt/datasets/template_matching/TinyTLP/Alladin/img/00251.jpg,729,462,80,251
/mnt/hdd1/users/aktgpt/datasets/template_matching/TinyTLP/Alladin/img/00161.jpg,635,418,82,233,/mnt/hdd1/users/aktgpt/datasets/template_matching/TinyTLP/Alladin/img/00261.jpg,734,470,87,243
/mnt/hdd1/users/aktgpt/datasets/template_matching/TinyTLP/Alladin/img/00171.jpg,646,421,77,228,/mnt/hdd1/users/aktgpt/datasets/template_matching/TinyTLP/Alladin/img/00271.jpg,740,466,86,252
/mnt/hdd1/users/aktgpt/datasets/template_matching/TinyTLP/Alladin/img/00181.jpg,657,430,76,214,/mnt/hdd1/users/aktgpt/datasets/template_matching/TinyTLP/Alladin/img/00281.jpg,730,464,86,252
/mnt/hdd1/users/aktgpt/datasets/template_matching/TinyTLP/Alladin/img/00191.jpg,673,450,76,205,/mnt/hdd1/users/aktgpt/datasets/template_matching/TinyTLP/Alladin/img/00291.jpg,720,463,86,252
/mnt/hdd1/users/aktgpt/datasets/template_matching/TinyTLP/Alladin/img/00201.jpg,687,450,75,206,/mnt/hdd1/users/aktgpt/datasets/template_matching/TinyTLP/Alladin/img/00301.jpg,729,466,89,250
/mnt/hdd1/users/aktgpt/datasets/template_matching/TinyTLP/Alladin/img/00211.jpg,703,464,74,211,/mnt/hdd1/users/aktgpt/datasets/template_matching/TinyTLP/Alladin/img/00311.jpg,743,470,94,247
/mnt/hdd1/users/aktgpt/datasets/template_matching/TinyTLP/Alladin/img/00221.jpg,714,478,74,216,/mnt/hdd1/users/aktgpt/datasets/template_matching/TinyTLP/Alladin/img/00321.jpg,766,462,86,256
/mnt/hdd1/users/aktgpt/datasets/template_matching/TinyTLP/Alladin/img/00231.jpg,723,469,73,235,/mnt/hdd1/users/aktgpt/datasets/template_matching/TinyTLP/Alladin/img/00331.jpg,788,449,78,269
/mnt/hdd1/users/aktgpt/datasets/template_matching/TinyTLP/Alladin/img/00241.jpg,728,474,73,237,/mnt/hdd1/users/aktgpt/datasets/template_matching/TinyTLP/Alladin/img/00341.jpg,798,431,81,287
/mnt/hdd1/users/aktgpt/datasets/template_matching/TinyTLP/Alladin/img/00251.jpg,729,462,80,251,/mnt/hdd1/users/aktgpt/datasets/template_matching/TinyTLP/Alladin/img/00351.jpg,807,418,83,300
/mnt/hdd1/users/aktgpt/datasets/template_matching/TinyTLP/Alladin/img/00261.jpg,734,470,87,243,/mnt/hdd1/users/aktgpt/datasets/template_matching/TinyTLP/Alladin/img/00361.jpg,813,416,82,302
/mnt/hdd1/users/aktgpt/datasets/template_matching/TinyTLP/Alladin/img/00271.jpg,740,466,86,252,/mnt/hdd1/users/aktgpt/datasets/template_matching/TinyTLP/Alladin/img/00371.jpg,808,385,102,321
/mnt/hdd1/users/aktgpt/datasets/template_matching/TinyTLP/Alladin/img/00281.jpg,730,464,86,252,/mnt/hdd1/users/aktgpt/datasets/template_matching/TinyTLP/Alladin/img/00381.jpg,778,417,116,296
/mnt/hdd1/users/aktgpt/datasets/template_matching/TinyTLP/Alladin/img/00291.jpg,720,463,86,252,/mnt/hdd1/users/aktgpt/datasets/template_matching/TinyTLP/Alladin/img/00391.jpg,688,389,115,323
/mnt/hdd1/users/aktgpt/datasets/template_matching/TinyTLP/Alladin/img/00301.jpg,729,466,89,250,/mnt/hdd1/users/aktgpt/datasets/template_matching/TinyTLP/Alladin/img/00401.jpg,610,371,114,338
/mnt/hdd1/users/aktgpt/datasets/template_matching/TinyTLP/Alladin/img/00311.jpg,743,470,94,247,/mnt/hdd1/users/aktgpt/datasets/template_matching/TinyTLP/Alladin/img/00411.jpg,562,368,114,345
/mnt/hdd1/users/aktgpt/datasets/template_matching/TinyTLP/Alladin/img/00321.jpg,766,462,86,256,/mnt/hdd1/users/aktgpt/datasets/template_matching/TinyTLP/Alladin/img/00421.jpg,525,343,122,317
/mnt/hdd1/users/aktgpt/datasets/template_matching/TinyTLP/Alladin/img/00331.jpg,788,449,78,269,/mnt/hdd1/users/aktgpt/datasets/template_matching/TinyTLP/Alladin/img/00431.jpg,513,304,124,356
/mnt/hdd1/users/aktgpt/datasets/template_matching/TinyTLP/Alladin/img/00341.jpg,798,431,81,287,/mnt/hdd1/users/aktgpt/datasets/template_matching/TinyTLP/Alladin/img/00441.jpg,497,271,140,412
/mnt/hdd1/users/aktgpt/datasets/template_matching/TinyTLP/Alladin/img/00351.jpg,807,418,83,300,/mnt/hdd1/users/aktgpt/datasets/template_matching/TinyTLP/Alladin/img/00451.jpg,493,258,153,443
/mnt/hdd1/users/aktgpt/datasets/template_matching/TinyTLP/Alladin/img/00361.jpg,813,416,82,302,/mnt/hdd1/users/aktgpt/datasets/template_matching/TinyTLP/Alladin/img/00461.jpg,491,259,156,454
/mnt/hdd1/users/aktgpt/datasets/template_matching/TinyTLP/Alladin/img/00371.jpg,808,385,102,321,/mnt/hdd1/users/aktgpt/datasets/template_matching/TinyTLP/Alladin/img/00471.jpg,482,268,161,450
